index,match_id,period,minute,second,duration,possession_team_name,team_name,player_name,pass_recipient_name,end_x,end_y,x,y,outcome_name,pass_height_name,pass_length,pass_angle,expected_pass_length,line_breaking
65,3942819,1,1,30,0.964425,England,England,Declan Rice,Jude Bellingham,48.5,22.5,35.3,28.5,Complete,Ground Pass,14.499655,-0.4266275,,True
159,3942819,1,3,12,0.866584,England,England,Declan Rice,Harry Kane,69.6,28.5,53.1,26.3,Complete,Ground Pass,16.64602,0.13255154,,True
523,3942819,1,19,20,1.86773,Netherlands,Netherlands,Bart Verbruggen,Memphis Depay,48.2,31.3,12.3,33.8,Complete,Ground Pass,35.986942,-0.069525644,,True
605,3942819,1,21,15,1.005848,England,England,Declan Rice,Harry Kane,77.0,33.8,60.2,31.0,Complete,Ground Pass,17.031734,0.16514868,,True
633,3942819,1,22,3,1.046702,Netherlands,Netherlands,Nathan Aké,Memphis Depay,56.3,17.3,42.1,4.7,Complete,Ground Pass,18.984203,0.72576743,,True
680,3942819,1,22,55,1.196163,England,England,John Stones,Bukayo Saka,79.2,59.4,63.3,64.4,Complete,Ground Pass,16.667633,-0.30467442,,True
890,3942819,1,27,6,1.096214,Netherlands,Netherlands,Stefan de Vrij,Memphis Depay,87.1,60.6,73.8,66.0,Complete,Ground Pass,14.354442,-0.38568097,,True
938,3942819,1,28,8,0.994057,Netherlands,Netherlands,Stefan de Vrij,Memphis Depay,62.0,65.8,40.5,68.8,Complete,Ground Pass,21.708294,-0.13863973,,True
941,3942819,1,28,13,1.711241,Netherlands,Netherlands,Memphis Depay,Donyell Malen,102.9,45.1,88.3,59.4,Complete,Ground Pass,20.436487,-0.7750179,,True
1019,3942819,1,30,47,0.930415,England,England,Kobbie Mainoo,Harry Kane,91.8,18.7,77.8,22.8,Complete,Ground Pass,14.588009,-0.2848909,,True
1070,3942819,1,32,19,0.95625,England,England,John Stones,Phil Foden,49.3,47.0,34.2,48.6,Complete,Ground Pass,15.184531,-0.10556635,,True
1083,3942819,1,32,35,1.114022,England,England,Declan Rice,Kobbie Mainoo,56.5,46.1,46.0,21.7,Complete,Ground Pass,26.56332,1.1644216,,True
1278,3942819,1,39,18,1.087408,Netherlands,Netherlands,Virgil van Dijk,Joey Veerman,38.5,35.1,25.7,34.0,Complete,Ground Pass,12.847178,0.08572687,,True
1381,3942819,1,41,14,1.273653,Netherlands,Netherlands,Tijjani Reijnders,Xavi Simons,67.6,68.2,48.1,54.3,Complete,Ground Pass,23.947025,0.6192786,,True
1482,3942819,1,43,38,0.928623,England,England,Phil Foden,Jude Bellingham,92.8,21.5,78.8,31.0,Complete,Ground Pass,16.918924,-0.59619915,,True
