player_name,team_name,Total Passes,LBP Attempts,Successful LBP,minutes_played,position,LBP Attempted per90,LBP Success Rate,LBP Received,LBP_Received_per90
Abdülkerim Bardakcı,Turkey,181,4.0,1.0,360,Center Back,1.0,0.25,1.0,0.25
Adam Buksa,Poland,7,0.0,0.0,149,Forward,0.0,0.0,4.0,2.42
Adam Gnezda Čerin,Slovenia,120,2.0,2.0,390,Midfield,0.46,1.0,2.0,0.46
Adam Hložek,Czech Republic,14,0.0,0.0,108,Midfield,0.0,0.0,1.0,0.83
Adam Obert,Slovakia,21,3.0,3.0,21,Full Back,12.86,1.0,0.0,0.0
Adrien Rabiot,France,210,9.0,9.0,371,Midfield,2.18,1.0,4.0,0.97
Adrián Rus,Romania,1,0.0,0.0,21,Midfield,0.0,0.0,0.0,0.0
Alejandro Baena Rodríguez,Spain,10,0.0,0.0,27,Midfield,0.0,0.0,2.0,6.67
Alejandro Grimaldo García,Spain,85,0.0,0.0,115,Full Back,0.0,0.0,0.0,0.0
Aleksandar Mitrović,Serbia,42,0.0,0.0,240,Forward,0.0,0.0,7.0,2.62
Alessandro Bastoni,Italy,282,11.0,10.0,360,Center Back,2.75,0.909,0.0,0.0
Alexander Hartmann Bah,Denmark,122,3.0,3.0,280,Full Back,0.96,1.0,1.0,0.32
Alexander Prass,Austria,63,5.0,4.0,166,Full Back,2.71,0.8,3.0,1.63
Alexandru Cicâldău,Romania,4,0.0,0.0,19,Midfield,0.0,0.0,0.0,0.0
Altay Bayındır,Turkey,29,0.0,0.0,90,Goalkeeper,0.0,0.0,0.0,0.0
Amadou Onana,Belgium,195,8.0,7.0,360,Midfield,2.0,0.875,5.0,1.25
Anatolii Trubin,Ukraine,51,1.0,1.0,180,Goalkeeper,0.5,1.0,0.0,0.0
Andraž Šporar,Slovenia,59,0.0,0.0,342,Forward,0.0,0.0,5.0,1.32
Andrea Cambiaso,Italy,43,0.0,0.0,75,Wing,0.0,0.0,0.0,0.0
Andreas Christensen,Denmark,210,3.0,3.0,350,Center Back,0.77,1.0,0.0,0.0
Andreas Skov Olsen,Denmark,35,0.0,0.0,122,Midfield,0.0,0.0,0.0,0.0
Andrei Burcă Andonie,Romania,116,2.0,2.0,360,Center Back,0.5,1.0,0.0,0.0
